num_qubits,depth,entanglement,noise_type,error_rate,x_noisy,x_ideal
4,2,full,depolarizing,0.1,-0.0010691920924389836,-0.19419436411256122
4,2,full,amplitude_damping,0.001,-0.19464907669297032,-0.19419436411256122
4,2,full,amplitude_damping,0.01,-0.19743702028914614,-0.19419436411256122
4,2,full,amplitude_damping,0.1,-0.1501273463867236,-0.19419436411256122
4,2,full,readout,0.001,-0.1941943641125614,-0.19419436411256122
4,2,full,readout,0.01,-0.1941943641125614,-0.19419436411256122
4,2,full,readout,0.1,-0.1941943641125614,-0.19419436411256122
4,2,pairwise,depolarizing,0.001,-0.01570560482589861,-0.01653894801663408
4,2,pairwise,depolarizing,0.01,-0.009731209135779226,-0.01653894801663408
4,2,pairwise,depolarizing,0.1,-9.207330571331385e-06,-0.01653894801663408
4,2,pairwise,amplitude_damping,0.001,-0.015387787146834975,-0.01653894801663408
4,2,pairwise,amplitude_damping,0.01,-0.005816905123441102,-0.01653894801663408
4,2,pairwise,amplitude_damping,0.1,0.033738843391197725,-0.01653894801663408
4,2,pairwise,readout,0.001,-0.016538948016634164,-0.01653894801663408
4,2,pairwise,readout,0.01,-0.016538948016634164,-0.01653894801663408
4,2,pairwise,readout,0.1,-0.016538948016634164,-0.01653894801663408
4,3,linear,depolarizing,0.001,0.24160475483493143,0.2717596461530644
4,3,linear,depolarizing,0.01,0.08030165731167768,0.2717596461530644
4,3,linear,depolarizing,0.1,0.0006572124297790152,0.2717596461530644
4,3,linear,amplitude_damping,0.001,0.26507841143805183,0.2717596461530644
4,3,linear,amplitude_damping,0.01,0.21068404071964952,0.2717596461530644
4,3,linear,amplitude_damping,0.1,-0.0014564598338656573,0.2717596461530644
4,3,linear,readout,0.001,0.27175964615306447,0.2717596461530644
4,3,linear,readout,0.01,0.27175964615306447,0.2717596461530644
4,3,linear,readout,0.1,0.27175964615306447,0.2717596461530644
4,3,full,depolarizing,0.001,0.06555606524620423,0.08175203984227256
4,3,full,depolarizing,0.01,0.007652366268561611,0.08175203984227256
4,3,full,depolarizing,0.1,-1.768007312372838e-05,0.08175203984227256
4,3,full,amplitude_damping,0.001,0.0789212505380488,0.08175203984227256
4,3,full,amplitude_damping,0.01,0.056863317565165425,0.08175203984227256
4,3,full,amplitude_damping,0.1,0.004654122318674375,0.08175203984227256
4,3,full,readout,0.001,0.08175203984227256,0.08175203984227256
4,3,full,readout,0.01,0.08175203984227256,0.08175203984227256
4,3,full,readout,0.1,0.08175203984227256,0.08175203984227256
4,3,pairwise,depolarizing,0.001,0.05222273286299055,0.05881239632513487
4,3,pairwise,depolarizing,0.01,0.017383794856773417,0.05881239632513487
4,3,pairwise,depolarizing,0.1,0.000359751671038383,0.05881239632513487
4,3,pairwise,amplitude_damping,0.001,0.05704660776637436,0.05881239632513487
4,3,pairwise,amplitude_damping,0.01,0.04382595536341202,0.05881239632513487
4,3,pairwise,amplitude_damping,0.1,0.018239253219222342,0.05881239632513487
4,3,pairwise,readout,0.001,0.058812396325135206,0.05881239632513487
4,3,pairwise,readout,0.01,0.058812396325135206,0.05881239632513487
4,3,pairwise,readout,0.1,0.058812396325135206,0.05881239632513487
8,1,linear,depolarizing,0.001,0.0450407431316466,0.04926350238286431
8,1,linear,depolarizing,0.01,0.01939971007789131,0.04926350238286431
8,1,linear,depolarizing,0.1,0.0004915820418270119,0.04926350238286431
8,1,linear,amplitude_damping,0.001,0.048635860657593497,0.04926350238286431
8,1,linear,amplitude_damping,0.01,0.04318167872319864,0.04926350238286431
8,1,linear,amplitude_damping,0.1,0.007719906811108217,0.04926350238286431
8,1,linear,readout,0.001,0.04926350238286431,0.04926350238286431
8,1,linear,readout,0.01,0.04926350238286431,0.04926350238286431
8,1,linear,readout,0.1,0.04926350238286431,0.04926350238286431
8,1,full,depolarizing,0.001,0.012833650715541045,0.023484841765296534
8,1,full,depolarizing,0.01,-0.008968601710420335,0.023484841765296534
8,1,full,depolarizing,0.1,-0.00035532985641990563,0.023484841765296534
8,1,full,amplitude_damping,0.001,0.023296583360435715,0.023484841765296534
8,1,full,amplitude_damping,0.01,0.02151871568100205,0.023484841765296534
8,1,full,amplitude_damping,0.1,0.004145258766183489,0.023484841765296534
8,1,full,readout,0.001,0.023484841765296503,0.023484841765296534
8,1,full,readout,0.01,0.023484841765296503,0.023484841765296534
8,1,full,readout,0.1,0.023484841765296503,0.023484841765296534
8,1,pairwise,depolarizing,0.001,-0.023330984949031353,-0.025553680422241067
8,1,pairwise,depolarizing,0.01,-0.00999356068450228,-0.025553680422241067
8,1,pairwise,depolarizing,0.1,-0.00023145120921580628,-0.025553680422241067
